""," Player Name                     ","State","Total","PreRating","PreRatingAvg"
"1","GARY HUA","ON",6,1794,1605
"2","AKSHESH ARURI","MI",6,1553,1469
"3","AITYA BAJAJ","MI",6,1384,1564
"4","PATRICK H SCHIING","MI",5.5,1716,1574
"5","HANSHI ZUO","MI",5.5,1655,1501
"6","HANSEN SONG","OH",5,1686,1519
"7","GARY EE SATHE","MI",5,1649,1372
"8","EZEKIE HOUGHTON","MI",5,1641,1468
"9","STEFANO EE","ON",5,1411,1523
"10","ANVIT RAO","MI",5,1365,1554
"11","CAMERON IIAM MC EMAN","MI",4.5,1712,1468
"12","KENNETH J TACK","MI",4.5,1663,1506
"13","TORRANCE HENRY JR","MI",4.5,1666,1498
"14","BRAEY SHA","MI",4.5,1610,1515
"15","ZACHARY JAMES HOUGHTON","MI",4.5,1220,1484
"16","MIKE NIKITIN","MI",4,1604,1386
"17","RONA GRZEGORCZYK","MI",4,1629,1499
"18","AVI SUNEEN","MI",4,1600,1480
"19","IPANKAR ROY","MI",4,1564,1426
"20","JASON ZHENG","MI",4,1595,1411
"21","INH ANG BUI","ON",4,1563,1470
"22","EUGENE  MCCURE","MI",4,1555,1300
"23","AAN BUI","ON",4,1363,1214
"24","MICHAE R ARICH","MI",4,1229,1357
"25","OREN SCHIEBERT","MI",3.5,1745,1363
"26","MAX ZHU","ON",3.5,1579,1507
"27","GAURAV GIANI","MI",3.5,1552,1222
"28","SOFIA AINA STANESCU-BEU","MI",3.5,1507,1522
"29","CHIEOZIE OKORIE","MI",3.5,1602,1314
"30","GEORGE AVERY JONES","ON",3.5,1522,1144
"31","RISHI SHETTY","MI",3.5,1494,1260
"32","JOSHUA PHIIP MATHES","ON",3.5,1441,1379
"33","JAE GE","MI",3.5,1449,1277
"34","MICHAE JEFFERY THOMAS","MI",3.5,1399,1375
"35","JOSHUA AVI EE","MI",3.5,1438,1150
"36","SIHARTH JHA","MI",3.5,1355,1388
"37","AMIYATOSH PNANANAM","MI",3.5,980,1385
"38","BRIAN IU","MI",3,1423,1539
"39","JOE R HENON","MI",3,1436,1430
"40","FOREST ZHANG","MI",3,1348,1391
"41","KYE IIAM MURPHY","MI",3,1403,1248
"42","JARE GE","MI",3,1332,1150
"43","ROBERT GEN VASEY","MI",3,1283,1107
"44","JUSTIN  SCHIING","MI",3,1199,1327
"45","EREK YAN","MI",3,1242,1152
"46","JACOB AEXANER AVAEY","MI",3,377,1358
"47","ERIC RIGHT","MI",2.5,1362,1392
"48","ANIE KHAIN","MI",2.5,1382,1356
"49","MICHAE J MARTIN","MI",2.5,1291,1286
"50","SHIVAM JHA","MI",2.5,1056,1296
"51","TEJAS AYYAGARI","MI",2.5,1011,1356
"52","ETHAN GUO","MI",2.5,935,1495
"53","JOSE C YBARRA","MI",2,1393,1345
"54","ARRY HOGE","MI",2,1270,1206
"55","AEX KONG","MI",2,1186,1406
"56","MARISA RICCI","MI",2,1153,1414
"57","MICHAE U","MI",2,1092,1363
"58","VIRAJ MOHIE","MI",2,917,1391
"59","SEAN M MC CORMICK","MI",2,853,1319
"60","JUIA SHEN","MI",1.5,967,1330
"61","JEZZE FARKAS","ON",1.5,955,1327
"62","ASHIN BAAJI","MI",1,1530,1186
"63","THOMAS JOSEPH HOSMER","MI",1,1175,1350
"64","BEN I","MI",1,1163,1263
