Female,,Male,
Snout Vent Length,Weight,Snout Vent Length,Weight
271,18.5,176.7,3
477,82.5,259.5,9.75
306.3,23.4,258,10.07
365.3,33.5,229.8,750
466,69,233,6.25
440.7,54,237.5,9.85
315,24.97,268.3,10
417.5,56.75,222.5,9
307.3,23.15,186.5,3.75
319,29.51,238.8,9.75
303.9,19.98,257.6,9.75
331.7,24,172,3
435,70.37,244.7,10
261.3,15.5,224.7,7.25
384.8,63,231.7,9.25
360.3,39,235.9,7.5
441.4,53,236.5,5.75
246.7,15.75,247.4,7.75
365.3,44,223,5.75
336.8,30,223,5.75
326.7,34,212.5,7.65
312,25,223,7.75
226.7,9.25,225,5.84
347.4,30,228,7.53
280.2,15.25,215.6,5.75
290.7,21.5,221,6.45
438.6,57,236.7,6.49
377.1,61.5,235.3,6
